DATE,User_ID,USER_TYPE,no_of_bets_placed,deposit_amount,bet_amount,bet_won_amount,withdrawal_amount,total_bonus_payout,bonus_names
01/09/2024,1089,player,1,0,364.23,0,389.39,40,Autumn Bonus
02/09/2024,1007,player,2,0,580.71,387.2,0,40,Autumn Bonus
02/09/2024,1019,player,1,0,233.26,0,0,40,Autumn Bonus
02/09/2024,1038,VIP,1,0,462.11,0,0,40,Autumn Bonus
02/09/2024,1068,player,1,0,262.41,0,0,40,Autumn Bonus
02/09/2024,1093,player,1,0,275.19,0,0,40,Autumn Bonus
03/09/2024,1011,player,1,0,495.93,0,0,40,Autumn Bonus
03/09/2024,1064,VIP,1,0,241.65,0,0,40,Autumn Bonus
04/09/2024,1090,player,2,0,322.28,0,0,40,Autumn Bonus
05/09/2024,1014,player,1,0,382.67,0,0,40,Autumn Bonus
05/09/2024,1066,player,1,0,417.01,0,0,40,Autumn Bonus
05/09/2024,1082,player,1,0,474.82,0,0,40,Autumn Bonus
06/09/2024,1091,VIP,1,0,293.87,0,394.85,40,Autumn Bonus
06/09/2024,1096,VIP,1,0,340.86,0,0,40,Autumn Bonus
08/09/2024,1042,player,1,0,408.05,0,0,40,Autumn Bonus
08/09/2024,1049,player,1,0,487.38,0,0,40,Autumn Bonus
08/09/2024,1062,player,1,0,352.81,0,0,40,Autumn Bonus
09/09/2024,1092,player,2,0,667.86,0,455.88,40,Autumn Bonus
10/09/2024,1028,player,1,0,330.47,0,0,40,Autumn Bonus
10/09/2024,1032,player,1,0,345,0,0,40,Autumn Bonus
10/09/2024,1040,player,1,0,452.81,0,0,40,Autumn Bonus
10/09/2024,1056,player,1,0,263.4,0,0,40,Autumn Bonus
10/09/2024,1076,player,1,0,447.04,0,0,40,Autumn Bonus
11/09/2024,1002,player,1,0,249.15,0,0,40,Autumn Bonus
11/09/2024,1054,VIP,1,0,417.6,0,0,40,Autumn Bonus
12/09/2024,1084,player,1,0,438.05,0,0,40,Autumn Bonus
13/09/2024,1053,VIP,1,0,206.22,0,0,40,Autumn Bonus
13/09/2024,1060,player,1,0,244.21,0,0,40,Autumn Bonus
14/09/2024,1015,VIP,1,0,414.22,0,0,40,Autumn Bonus
14/09/2024,1016,player,1,351.9,272.42,0,0,40,Autumn Bonus
14/09/2024,1080,player,1,0,448.66,0,0,40,Autumn Bonus
15/09/2024,1041,VIP,1,0,388.94,0,0,40,Autumn Bonus
15/09/2024,1079,player,1,0,460.48,0,0,40,Autumn Bonus
16/09/2024,1005,player,1,0,375.18,0,0,40,Autumn Bonus
16/09/2024,1099,player,1,362.86,378.23,0,0,40,Autumn Bonus
17/09/2024,1020,player,2,0,342.19,0,0,40,Autumn Bonus
17/09/2024,1063,player,1,0,499.04,0,0,40,Autumn Bonus
18/09/2024,1034,VIP,1,0,324.64,0,0,40,Autumn Bonus
18/09/2024,1043,player,1,0,436.66,0,0,40,Autumn Bonus
19/09/2024,1050,VIP,1,0,324.48,0,78.05,40,Autumn Bonus
20/09/2024,1044,VIP,2,0,581.24,0,118.14,40,Autumn Bonus
20/09/2024,1071,player,1,0,489.22,0,0,40,Autumn Bonus
21/09/2024,1097,player,1,0,439.67,0,0,40,Autumn Bonus
22/09/2024,1075,VIP,1,0,302.53,0,0,40,Autumn Bonus
24/09/2024,1017,player,1,0,453.01,0,0,40,Autumn Bonus
24/09/2024,1031,VIP,1,0,468.11,0,0,40,Autumn Bonus
24/09/2024,1072,player,1,0,487.91,0,0,40,Autumn Bonus
25/09/2024,1006,player,2,0,532.53,0,0,40,Autumn Bonus
25/09/2024,1095,player,1,483.36,371.13,0,0,40,Autumn Bonus
27/09/2024,1030,player,1,0,320.72,0,0,40,Autumn Bonus
27/09/2024,1067,VIP,1,0,466.07,0,0,40,Autumn Bonus
27/09/2024,1073,VIP,1,0,453.4,0,0,40,Autumn Bonus
27/09/2024,1098,player,1,0,468.67,0,0,40,Autumn Bonus
28/09/2024,1026,player,1,0,303.02,0,0,40,Autumn Bonus
29/09/2024,1039,player,1,0,326.98,0,0,40,Autumn Bonus
29/09/2024,1045,VIP,1,0,420.27,0,0,40,Autumn Bonus
29/09/2024,1065,player,1,0,460.7,0,0,40,Autumn Bonus
01/02/2024,1052,VIP,1,0,467.01,0,0,200,High Roller
01/02/2024,1081,player,1,0,358.47,0,0,200,High Roller
01/02/2024,1093,player,1,0,470.35,0,0,200,High Roller
02/02/2024,1020,player,1,0,424.83,0,0,200,High Roller
02/02/2024,1067,VIP,1,0,421.32,0,0,200,High Roller
03/02/2024,1031,VIP,1,311.03,389.24,0,0,200,High Roller
05/02/2024,1011,player,1,0,445.89,0,0,200,High Roller
05/02/2024,1071,player,1,0,464.7,0,0,200,High Roller
05/02/2024,1092,player,1,0,362.86,47.88,0,200,High Roller
06/02/2024,1001,player,1,0,492.79,0,0,200,High Roller
06/02/2024,1062,player,1,0,434.07,0,0,200,High Roller
07/02/2024,1007,player,1,0,471.74,0,0,200,High Roller
07/02/2024,1066,player,1,0,464.61,0,111.79,200,High Roller
07/02/2024,1076,player,1,0,366.88,0,0,200,High Roller
